English	de	fr	cs	uk
Red	Rot	Rouge	Červená	Червоний
Red Orange	Rotorange	Rouge orangé	Červenooranžová	Червоно-помаранчевий
Orange	Orange	Orange	Oranžová	Помаранчевий
Gold	Gold	Or	Zlatá	Золотий
Yellow	Gelb	Jaune	Žlutá	Жовтий
Lime	Limettengrün	Vert citron	Limetková	Лаймовий
Green	Grün	Vert	Zelená	Зелений
Emerald	Smaragdgrün	Vert émeraude	Smaragdová	Смарагдовий
Mint	Mintgrün	Vert menthe	Mátová	М'ятний
Turquoise	Türkis	Turquoise	Tyrkysová	Бірюзовий
Sky Blue	Himmelblau	Bleu ciel	Nebesky modrá	Блакитний
Blue	Blau	Bleu	Modrá	Синій
Indigo	Indigo	Indigo	Indigová	Індиго
Violet	Violett	Violet	Fialová	Фіолетовий
Purple	Purpur	Pourpre	Purpurová	Пурпуровий
Pink	Rosa	Rose	Růžová	Рожевий
Black	Schwarz	Noir	Černá	Чорний
Graphite	Graphit	Graphite	Grafitová	Графітовий
