Original	en	ru	cs	uk	de	fr
Adena300	Adena	Адена	Adena	Адена	Adena	Adena
Amaris200	Amaris	Амарис	Amaris	Амаріс	Amaris	Amaris
Bane_v122	Bane	Погибель	Zhouba	Згуба	Verderben	Fléau
Cilji_115	Cilji	Силджи	Cilji	Сілджі	Cilji	Cilji
Cleo_124	Cleo	Клео	Cleo	Клео	Cleo	Cléo
Durin_v120	Durin	Дурин	Durin	Дурін	Durin	Durin
Janan_100	Janan	Джанан	Janan	Джанан	Janan	Janan
Karg_v117	Karg	Карг	Karg	Карг	Karg	Karg
Loki_v101	Loki	Локи	Loki	Локі	Loki	Loki
Mournblade_v105	Mournblade	Клинок скорби	Žalný meč	Клинок скорботи	Trauerklinge	Lame de deuil
Nightmare_v110	Nightmare	Кошмар	Noční můra	Кошмар	Albtraum	Cauchemar
Olivia_120	Olivia	Оливия	Olivia	Олівія	Olivia	Olivia
Shannon_110	Shannon	Шеннон	Shannon	Шеннон	Shannon	Shannon
Sledge_v106	Sledge	Кувалда	Palice	Кувалда	Vorschlaghammer	Masse
Stormbringer_v112	Stormbringer	Вестник бури	Nositel bouře	Провісник бурі	Sturmbringer	Porte-tempête
