English	cs	uk
Yes	Ano	Так
No	Ne	Ні
OK	OK	Гаразд
Cancel	Zrušit	Скасувати
Apply	Použít	Застосувати
Close	Zavřít	Закрити
Back	Zpět	Назад
Next	Další	Далі
Continue	Pokračovat	Продовжити
Start	Spustit	Почати
Exit	Ukončit	Вийти
Quit	Ukončit	Вийти
Main Menu	Hlavní nabídka	Головне меню
Single Player	Hra pro jednoho hráče	Одиночна гра
Multiplayer	Hra více hráčů	Мережева гра
Internet	Internet	Інтернет
Local Area Network	Místní síť	Локальна мережа
Campaign	Kampaň	Кампанія
Skirmish	Šarvátka	Сутичка
Tutorial	Výcvik	Навчання
Load Game	Načíst hru	Завантажити гру
Save Game	Uložit hru	Зберегти гру
Options	Nastavení	Налаштування
Settings	Nastavení	Налаштування
Credits	Tvůrci	Автори
Random	Náhodně	Випадково
Random Map	Náhodná mapa	Випадкова мапа
Player	Hráč	Гравець
Players	Hráči	Гравці
Computer	Počítač	Комп'ютер
Team	Tým	Команда
Teams	Týmy	Команди
Race	Rasa	Раса
Faction	Frakce	Фракція
Kingdom	Království	Королівство
Company	Rota	Рота
Companies	Roty	Роти
Company Limit	Limit rot	Ліміт рот
Militia	Domobrana	Ополчення
Open Militia	Otevřená domobrana	Відкрите ополчення
Closed Militia	Uzavřená domobrana	Закрите ополчення
Gold	Zlato	Золото
Stone	Kámen	Камінь
Wood	Dřevo	Деревина
Iron	Železo	Залізо
Mana	Mana	Мана
Resources	Zdroje	Ресурси
Income	Příjem	Дохід
Maintenance	Údržba	Утримання
Support	Podpora	Підтримка
Upgrade	Vylepšit	Поліпшити
Upgrade Cost	Cena vylepšení	Вартість поліпшення
Construction Cost	Cena stavby	Вартість будівництва
Market	Tržiště	Ринок
Marketplace	Tržiště	Ринок
Mine	Důl	Рудник
Mines	Doly	Рудники
Foundation	Staveniště	Місце під фундамент
Foundation Spot	Staveniště	Місце під фундамент
Foundation Site	Staveniště	Місце під фундамент
Foundation Space	Staveniště	Місце під фундамент
Ice Dragons	Ledoví draci	Крижані дракони
