English	cs	uk
Borderlands	Pohraničí	Прикордоння
The Borderlands	Pohraničí	Прикордоння
Reprisal	Odplata	Відплата
Complications	Komplikace	Ускладнення
Closing Fist	Sevřená pěst	Стиснутий кулак
The Hammer Falls	Úder kladiva	Удар молота
Slipping the Noose	Únik ze smyčky	Втеча із зашморгу
The Blood of Dragons	Dračí krev	Кров драконів
Like Crows to a Corpse	Jako vrány k mršině	Як круки до падла
The Guardians	Strážci	Вартові
The Shadow's Gift	Dar Stínu	Дар Тіні
Shadow's Gift	Dar Stínu	Дар Тіні
Let them Come	Jen ať přijdou	Нехай приходять
Let Them Come	Jen ať přijdou	Нехай приходять
A Sharp Rejoinder	Ostrá odpověď	Різка відповідь
Into the Storm	Do bouře	Назустріч бурі
Into The Storm	Do bouře	Назустріч бурі
A Rock and a Hard Place	Mezi mlýnskými kameny	Між молотом і ковадлом
Homecoming	Návrat domů	Повернення додому
The Lonely Cry	Osamělý výkřik	Самотній крик
Embers in the Waste	Žhavé uhlíky v Pustině	Жарини в Пустці
Rise! Drauga Rise!	Povstaňte! Draugové, povstaňte!	Повстаньте! Драуга, повстаньте!
Rise Drauga, Rise!	Povstaňte, Draugové, povstaňte!	Повстаньте, драуга, повстаньте!
The Breaking Point	Bod zlomu	Межа витривалості
The Past Lives Within	Minulost žije v nás	Минуле живе всередині
In the Hands of Darkness	V rukou temnoty	У руках темряви
The Veteran	Veterán	Ветеран
A Shred of Hope	Jiskřička naděje	Крихта надії
Twilight	Soumrak	Сутінки
The Deepest Shadow	Nejhlubší stín	Найглибша тінь
Ceyah	Ceyah	Сейя
Player	Hráč	Гравець
