English	cs	uk
Nations	Rasy	Раси
Factions	Frakce	Фракції
Nation	Rasa	Раса
Score	Skóre	Рахунок
SCORE	SKÓRE	РАХУНОК
Production	Výroba	Виробництво
Proving Grounds	Cvičiště	Полігон
Metal Works	Kovárna	Залізна майстерня
KICK	VYHODIT	ВИГНАТИ
BAN	ZABLOKOVAT	БЛОКУВАТИ
Backslash	Zpětné lomítko	Зворотна коса риска
Tilde	Vlnovka	Тильда
Supply and visibility are shared with allied kingdoms. Objects and resources may be tributed to allied kingdoms using team commands.	Spojenecká království sdílejí zásobování a výhled. Objekty a suroviny lze spojencům předávat pomocí týmových příkazů.	Союзні королівства мають спільне постачання й видимість. Об'єкти та ресурси можна передавати союзникам за допомогою команд команди.
Insect Swarm Decal Ground	Obtisk roje hmyzu na zemi	Відбиток рою комах на землі
Shover of Light empty	Prázdný objekt záplavy světla	Порожній об'єкт зливи світла
Spirit Tree Decal	Obtisk stromu duchů	Відбиток дерева духів
High Quality Object Fog	Kvalitní mlha objektů	Висока якість туману об'єктів
Maroon	Vínová	Темно-бордовий
Native - Passive	Domorodci — pasivní	Тубільці — пасивні
Cutscene-GoodGuys	Filmová scéna — spojenci	Сюжетна сцена — союзники
Khaldunite	Khaldunitový	Халдунітовий
Nation - Drauga	Rasa — Drauga	Раса — драуга
Nation - Gauri	Rasa — Gauri	Раса — гаурі
Bald Mountain	Lysá hora	Лиса гора
Faction - Ceyah	Frakce — Ceyah	Фракція — Сейя
Faction Ceyah	Frakce Ceyah	Фракція Сейя
Fitted Stones	Opracované kameny	Тесане каміння
Saiyar	Saiyar	Сайяр
Trow	Trow	Троу
Ifrit	Ifrít	Іфрит
Jotun	Jotun	Йотун
Melchior Arrow	Melchiorův šíp	Стріла Мельхіора
Toxic Mist	Jedovatá mlha	Отруйний туман
Lajatang	Lajatang	Ладжатанг
Parang	Parang	Паранг
Toporok	Sekyrka	Сокирка
Staff	Hůl	Посох
Kora	Kora	Кора
Impaler	Kopinice	Списниця
Pedang	Pedang	Педанг
Godendag	Goedendag	Годендаг
Kharga	Kharga	Харга
Pick	Krumpáč	Кайло
Killj	Kilič	Кілідж
Nagamaki	Nagamaki	Нагамакі
Mistrunner Company	Rota běžců mlhy	Рота бігунів туману
Shamshir	Šamšír	Шамшир
Khanjar	Chandžár	Ханджар
Rainbringer	Přivolávač deště	Заклинач дощу
Surai	Surai	Сурай
Poleaxe	Sudlice	Бердиш
Banshee	Bánší	Банші
Ghoul Mist	Ghúlí mlha	Туман упиря
Pole Axe	Sudlice	Бердиш
Scimitar	Šavle	Ятаган
Astarte	Astarte	Астарта
Belphegor	Belphegor	Бельфегор
Hasanko	Hasanko	Хасанко
Melchior	Melchior	Мельхіор
Sahrban	Sahrban	Сарбан
Sebak	Sebak	Себак
Agborus	Agborus	Агборус
Durash	Durash	Дарах
Golshan	Golshan	Голшан
Golzir	Golzir	Голзір
Ishan'ghul	Ishan'ghul	Ішан-Гул
Jhaengus	Jhaengus	Дженгус
Ma'ar Nasai	Ma'ar Nasai	Ма-ар Насаї
Mahrdol	Mahrdol	Мардол
Marduk	Marduk	Мардук
Glaive	Glefa	Глефа
Tehrat	Tehrat	Теграт
Abaddon	Abaddon	Абаддон
Ashaama	Ashaama	Ашаама
Isis	Isis	Айзіс
Chandra Majere	Chandra Majere	Чандра Маджере
Khafra	Khafra	Хафра
Mayati	Mayati	Майяті
Naava Daishan	Naava Daishan	Наава Дайшан
Arossa Mirari	Arossa Mirari	Аросса Мірарі
Arbir	Arbir	Арбір
Gurudasa	Gurudasa	Гурудаша
Pickaxe	Krumpáč	Кайло
Uvhati Angoth	Uvhati Angoth	Увхаті Ангот
Gouge	Kel	Бивень
Eagle	Orel	Орел
Mammut	Slonotur	Слонотур
Rhaksha	Rákšasa	Ракшаса
Sakarr	Sakarr	Саккар
Tomb	Hrobka	Гробниця
Bonemill	Kostní mlýn	Кістяний млин
Ice Shards	Ledové střepy	Крижані уламки
Palm Trees	Palmy	Пальми
Kings of War Campaign	Kampaň Kings of War	Кампанія «Королі війни»
Rhaksha Decal	Obtisk rákšasy	Відбиток ракшаси
Berserker	Berserk	Берсерк
Abaddon Laught	Abaddonův smích	Сміх Абаддона
Balché	Balché	Бальче
Crimson Comet	Karmínová kometa	Багряна комета
Crimson Rain	Karmínový déšť	Багряний дощ
Draining Mist	Vysávající mlha	Виснажливий туман
Dryche	Dryche	Дріч
Feasting Mist	Hodující mlha	Туман пожирання
Ghostly Mist	Přízračná mlha	Примарний туман
Glacial Arrow	Ledový šíp	Крижана стріла
Glacial Bow	Ledový luk	Крижаний лук
Greater Meteor	Velký meteor	Великий метеор
Hss'Rak	Hss'Rak	Хсс'Рак
Ikaris	Ikaris	Ікаріс
Kerberos	Kerberos	Керберос
Lajatang Javelin	Oštěp Lajatang	Спис ладжатанг
Lake Mist	Jezerní mlha	Озерний туман
Lesser Meteor	Malý meteor	Малий метеор
Lesser Shover of Light	Malá záplava světla	Мала злива світла
Liliput	Liliput	Ліліпут
Livingsand	Živý písek	Живий пісок
Mist of Dawn	Mlha úsvitu	Світанковий туман
Moggok	Moggok	Моггок
Pickblade	Čepel krumpáče	Лезо кайла
Rhaksha Enclave	Enkláva rákšasů	Анклав ракшасів
Sagaris	Sagaris	Сагаріс
Sar Lashkar	Sar Lashkar	Сар Лашкар
Si'Arian	Si'Arian	Сі'Аріан
