# English|German|French. Reviewed against the English source and Russian corrections.
Alchemy Hall|Alchemiehalle|Salle d'alchimie
Ambassador Portal|Portal des Botschafters|Portail de l'ambassadeur
Apparation Flyer Attack|Flugangriff der Erscheinung|Attaque aérienne de l'apparition
Fortified|Befestigt|Fortification renforcée
Council|Rat|Conseil
Sovereign Founders|Gründer des Herrschers|Fondateurs du souverain
Sovereign Pilgrims|Pilger des Herrschers|Pèlerins du souverain
Citadel|Zitadelle|Citadelle
Fortress|Festung|Forteresse
Citadel Improved Militia|Verbesserte Zitadellenmiliz|Milice de citadelle améliorée
Improved Militia|Verbesserte Miliz|Milice améliorée
Improved Siege Militia|Verbesserte Belagerungsmiliz|Milice de siège améliorée
Siege Militia|Belagerungsmiliz|Milice de siège
Miningtown|Bergbaustadt|Ville minière
Stonehold|Steinfeste|Bastion de pierre
Gauri Citadel|Gauri-Zitadelle|Citadelle gauri
Gauri City|Gauri-Stadt|Ville gauri
Gauri Sovereign|Gauri-Herrscher|Souverain gauri
Gauri Town|Gauri-Ortschaft|Bourg gauri
Gauri Gate Lanterns Mining|Torleuchten der Gauri-Bergbaustadt|Lanternes de porte de la ville minière gauri
Gauri Wall Lantern Nat|Mauerleuchte der Gauri-Nationalisten|Lanterne murale des Gauri nationalistes
Gauri Wall Lantern Stonehold|Mauerleuchte der Gauri-Steinfeste|Lanterne murale du bastion de pierre gauri
Builders|Baumeister|Bâtisseurs
Miningpost|Bergbauposten|Poste minier
Camp|Lager|Camp
Human Gate Banner Royalist|Torbanner der Menschen-Royalisten|Bannière de porte des Humains royalistes
Human Tower Banner Royalist|Turmbanner der Menschen-Royalisten|Bannière de tour des Humains royalistes
Human Tower Cey|Turm der Ceyah-Menschen|Tour des Humains ceyah
Human Tower Roy|Turm der Menschen-Royalisten|Tour des Humains royalistes
Hunter|Jäger|Chasseur
Ifrit|Ifrit|Ifrit
Engineer|Ingenieur|Ingénieur
Forge|Schmiede|Forge
Liliput Bomb|Liliput-Bombe|Bombe de Liliput
Mage|Magier|Mage
Ironexport|Eisenexport|Exportation de fer
Woodexport|Holzexport|Exportation de bois
Nationalist|Nationalisten|Nationalistes
Necromancer|Nekromant|Nécromancien
Royalist|Royalisten|Royalistes
Saiyar Human|Saiyar der Menschen|Saiyar humain
Saiyar Undead|Untoter Saiyar|Saiyar mort-vivant
Slaan Encampment|Slaan-Lager|Campement slaan
Champion|Champion|Champion
Ignis|Ignis|Ignis
Slavery Grounds Invokers|Beschwörer der Sklavenstätte|Invocateurs des terres d'esclavage
Chambers of Dark Pleasure|Gemächer der dunklen Lust|Chambres des plaisirs sombres
Corruption|Verderbnis|Corruption
Invokers|Beschwörer|Invocateurs
Siegemaster Guild|Gilde der Belagerungsmeister|Guilde des maîtres de siège
Soul Sepulcher|Seelengruft|Sépulcre des âmes
Tower Ceyah|Ceyah-Turm|Tour ceyah
Scorpion|Skorpion|Scorpion
The Gate Base|Tor — Sockel|Porte — base
The Gate Shadowcall|Tor — Schattenruf|Porte — appel des ombres
Haroun Garden|Garten der Haroun|Jardin haroun
Haroun Improved Keep|Verbesserte Haroun-Feste|Donjon haroun amélioré
Haroun Keep|Haroun-Feste|Donjon haroun
Haroun Royalist|Haroun-Royalisten|Haroun royalistes
Spirit Tree|Geisterbaum|Arbre des esprits
Undead Fallen|Gefallene Untote|Morts-vivants déchus
Vampyrism Aura|Vampirismusaura|Aura de vampirisme
Human Ceyah|Ceyah-Menschen|Humains ceyah
Human Council|Menschen des Rates|Humains du Conseil
Human Nationalist|Menschen-Nationalisten|Humains nationalistes
Human Royalist|Menschen-Royalisten|Humains royalistes
Drauga Nationalist|Drauga-Nationalisten|Drauga nationalistes
Drauga Royalist|Drauga-Royalisten|Drauga royalistes
Gauri Council|Gauri des Rates|Gauri du Conseil
Gauri Nationalist|Gauri-Nationalisten|Gauri nationalistes
Haroun Council|Haroun des Rates|Haroun du Conseil
