Independent Holdings|Unabhängige Besitzungen|Domaines indépendants
Bandit Clans|Banditenclans|Clans de bandits
Barbarian Tribes|Barbarenstämme|Tribus barbares
Forest Creatures|Waldkreaturen|Créatures sylvestres
Fire Dragons|Feuerdrachen|Dragons de feu
Ice Dragons|Eisdrachen|Dragons de glace
Storm Creatures|Sturmkreaturen|Créatures de la tempête
Wolf Packs|Wolfsrudel|Meutes de loups
Spiders|Spinnen|Araignées
Scorpions|Skorpione|Scorpions
Night Lurkers|Nachtlauerer|Rôdeurs nocturnes
Shadows|Schatten|Ombres
Humans|Menschen|Humains
Undead|Untote|Morts-vivants
Slaan Warbands|Slaan-Kriegerscharen|Bandes guerrières slaan
Searing Forcewave|Sengende Kraftwelle|Onde de force ardente
Acidic Flumes|Säurerinnen|Canaux acides
Acolyte|Akolyth|Acolyte
Active Fire Dragon|Erwachter Feuerdrache|Dragon de feu éveillé
Active Storm Drake|Erwachter Sturmdrache|Drake des tempêtes éveillé
Advance Eagle|Vorauseilender Adler|Aigle éclaireur
Ambasadors Presence|Gegenwart des Gesandten|Présence de l'ambassadeur
Ambassador of Void|Gesandter der Leere|Ambassadeur du Vide
Ambassador|Gesandter|Ambassadeur
Ambassadorst Dark Restoration|Dunkle Wiederherstellung des Gesandten|Restauration obscure de l'ambassadeur
Ancient|Uralter|Ancien
Ancients|Uralte|Anciens
Ancient Laygrounds|Uralte Grabstätte|Nécropole antique
Anomaly|Anomalie|Anomalie
Apparation|Erscheinung|Apparition
Apparations|Erscheinungen|Apparitions
Apparitions|Erscheinungen|Apparitions
Apparition|Erscheinung|Apparition
Arbalest|Armbrustschütze|Arbalétrier
Arcane Gauntlet|Arkaner Panzerhandschuh|Gantelet arcanique
Arcane Wars Tech|Arcane-Wars-Technologien|Technologies d'Arcane Wars
Arctic Blast|Arktische Druckwelle|Souffle arctique
Armor of Light|Rüstung des Lichts|Armure de lumière
Ascending Crafter|Aufstrebender Handwerker|Artisan ascendant
Aspiring Nightbringer|Aufstrebender Nachtbringer|Porte-nuit aspirant
Automaton|Automat|Automate
Avatar|Avatar|Avatar
Balistae|Ballisten|Balistes
Bandit Encampment|Banditenlager|Campement de bandits
Banish Shadow|Schatten bannen|Bannir l'ombre
Banish shadows|Schatten bannen|Bannir les ombres
Banishment|Verbannung|Bannissement
Battle Priest|Kriegspriester|Prêtre de guerre
Battle Rider|Schlachtreiter|Cavalier de guerre
Battlecry|Schlachtruf|Cri de guerre
Battlemage|Kampfmagier|Mage de bataille
Beam of Harm|Schadensstrahl|Rayon néfaste
Beast Minion|Bestiendiener|Serviteur bestial
Berzekers Fury|Berserkerwut|Fureur du berserker
Berzekers Rage|Berserkerraserei|Rage du berserker
Bileflies|Gallenfliegen|Mouches bilieuses
Bileflies Marsh|Gallenfliegensumpf|Marais des mouches bilieuses
Bird Flock Wing|Flügel eines Vogelschwarms|Ailes d'une volée d'oiseaux
Bird Small flock|Kleiner Vogelschwarm|Petite volée d'oiseaux
Bird Wing|Vogelflügel|Aile d'oiseau
Black Cloud|Schwarze Wolke|Nuage noir
Black Curse|Schwarzer Fluch|Malédiction noire
Black Mountains|Schwarze Berge|Montagnes noires
Black Mountain|Schwarzer Berg|Montagne noire
Blackout|Verdunkelung|Obscurcissement
Blademaster|Klingenmeister|Maître des lames
Blast|Druckwelle|Souffle
Blinding|Blendung|Aveuglement
Blinding Light|Blendendes Licht|Lumière aveuglante
Blinding Sunlight|Blendendes Sonnenlicht|Soleil aveuglant
Bloodied claw|Blutige Klaue|Griffe ensanglantée
Bloodsoaker|Bluttrinker|Buveur de sang
Bloodsoakers|Bluttrinker|Buveurs de sang
Bloodthirst|Blutdurst|Soif de sang
Bolt|Bolzen|Carreau
Bolt Master|Bolzenmeister|Maître des carreaux
Bolt Thrower|Bolzenwerfer|Lance-carreaux
Bomb|Bombe|Bombe
BombardSpell|Bombardierungszauber|Sort de bombardement
Bone Arbalest|Knochenarmbrust|Arbalète d'os
Bone Bardiche|Knochenbardiche|Bardiche d'os
Bone Blade|Knochenklinge|Lame d'os
Bone Mace|Knochenstreitkolben|Masse d'os
Bonegolem|Knochengolem|Golem d'os
Boneling|Knochenwesen|Créature d'os
Boneling Revenants|Knochenwiedergänger|Revenants d'os
Boneling Twins|Knochenzwillinge|Jumeaux d'os
Bones|Knochen|Os
Border Keep|Grenzfestung|Fort frontalier
Branch Thing|Astwesen|Créature des branches
Branchweaver|Astweber|Tisseur de branches
Breaker|Brecher|Briseur
Build Kingdom Structures|Reichsgebäude errichten|Construire des bâtiments de royaume
Build Resource Camp|Rohstofflager errichten|Construire un camp de ressources
Build Sovereign Citadel|Herrscherzitadelle errichten|Construire une citadelle souveraine
Captain Engineer|Ingenieurhauptmann|Capitaine ingénieur
Capturing this building provides extra gold income|Die Eroberung dieses Gebäudes erhöht das Goldeinkommen.|La capture de ce bâtiment augmente les revenus en or.
Capturing this building provides extra mana income.|Die Eroberung dieses Gebäudes erhöht das Manaeinkommen.|La capture de ce bâtiment augmente les revenus en mana.
Catapult|Katapult|Catapulte
Catapult Fire|Katapultschuss|Tir de catapulte
Catapult Rock|Katapultgeschoss|Projectile de catapulte
Cavalry|Kavallerie|Cavalerie
Cavalry Fast|Schnelle Kavallerie|Cavalerie rapide
Cavalry Normal|Normale Kavallerie|Cavalerie normale
Cavalry Slow|Langsame Kavallerie|Cavalerie lente
Cavalry Very Fast|Sehr schnelle Kavallerie|Cavalerie très rapide
Celebrant|Zelebrant|Célébrant
Celestial Touch|Himmlische Berührung|Toucher céleste
Champion Hall|Halle der Champions|Hall des champions
Channeler|Kanalisierer|Canaliseur
Chilling Ice Armor|Frostige Eisrüstung|Armure de glace réfrigérante
Chosen Nide|Auserwählte Nide|Nide élue
Cleave|Spalten|Fendre
Clockwork Bomb|Uhrwerkbombe|Bombe mécanique
Clockwork|Uhrwerk|Mécanisme
Cloud Drake|Wolkendrache|Drake des nuages
Cluster Cannonball|Streukugel|Boulet à fragmentation
Clustershot|Streuschuss|Tir à fragmentation
Cold Damage|Kälteschaden|Dégâts de froid
Combat Engineer|Kampfingenieur|Ingénieur de combat
Comet|Komet|Comète
Company of Six|Kompanie der Sechs|Compagnie des Six
Conjuror|Beschwörer|Conjurateur
Courage|Mut|Courage
Courage Lion|Löwe des Mutes|Lion du courage
Crackling|Knistern|Crépitement
Crackling Web|Knisterndes Netz|Toile crépitante
Creators Huntress|Jägerin des Schöpfers|Chasseresse du Créateur
Crimson Catapult|Purpurkatapult|Catapulte cramoisie
Crimson Comet|Purpurkomet|Comète cramoisie
Crimson|Purpur|Cramoisi
Crimson Mage|Purpurmagier|Mage cramoisi
Crimson Mage Official|Purpurmagier des Rates|Mage cramoisi officiel
Crimson Rain|Purpurregen|Pluie cramoisie
Crimson Rock|Purpurgestein|Roche cramoisie
Crimson Shield|Purpurschild|Bouclier cramoisi
Crimson Vulnerability|Purpurne Verwundbarkeit|Vulnérabilité cramoisie
Crimsonblast|Purpurschlag|Déflagration cramoisie
Crimsonbolt|Purpurgeschoss|Trait cramoisi
Crippling Fear|Lähmende Furcht|Peur paralysante
Cursed City|Verfluchte Stadt|Cité maudite
Cursed Land|Verfluchtes Land|Terre maudite
Cursed Library|Verfluchte Bibliothek|Bibliothèque maudite
Cursed Market|Verfluchter Markt|Marché maudit
Cursed Sawmill|Verfluchtes Sägewerk|Scierie maudite
Cursed Wand|Verfluchter Zauberstab|Baguette maudite
Dark Forest|Dunkler Wald|Forêt obscure
Dark Hunger|Dunkler Hunger|Faim obscure
Dark Maiden|Dunkle Jungfrau|Vierge obscure
Darkbolt|Dunkelgeschoss|Trait obscur
Day Time|Tageszeit|Heure du jour
Deadland|Totes Land|Terre morte
Deadwoods|Totenwald|Bois morts
Death Breath|Todeshauch|Souffle de mort
Death Flumes|Todesströme|Courants mortels
Death Wyrm|Todeswurm|Wyrm de la mort
Decapitator|Enthaupter|Décapiteur
Defenders|Verteidiger|Défenseurs
Demolition group|Sprengtrupp|Groupe de démolition
Demoralisation|Demoralisierung|Démoralisation
Dense Forest|Dichter Wald|Forêt dense
Desert Flames|Wüstenflammen|Flammes du désert
Desert Wrath|Wüstenzorn|Courroux du désert
Devout|Glaubenseiferer|Dévot
Dire Wolf|Schreckenswolf|Loup funeste
Direwolf|Schreckenswolf|Loup funeste
Direwolves Den|Schreckenswolfbau|Tanière des loups funestes
Discharge|Entladung|Décharge
Disciples of Desert Flames|Jünger der Wüstenflammen|Disciples des flammes du désert
Disciple|Jünger|Disciple
Dragonfire Balistae|Drachenfeuerballisten|Balistes du feu draconique
Dragonfire Bolt|Drachenfeuerbolzen|Carreau de feu draconique
Dragonfire|Drachenfeuer|Feu draconique
Dragonfire Spear|Drachenfeuerspeer|Lance de feu draconique
Draining Bash|Entziehender Hieb|Coup drainant
Draining Mist|Zehrender Nebel|Brume drainante
Draining Slash|Entziehender Schnitt|Entaille drainante
Drake|Drache|Drake
Dreadfire|Schreckensfeuer|Feu de l'effroi
Dreadfire Blast|Schreckensfeuerschlag|Déflagration de l'effroi
Dreadfire Bolt Tower|Schreckensfeuerturm|Tour aux traits de l'effroi
Driftwood|Treibholz|Bois flotté
Dryche|Dryche|Dryche
Dryche Wines|Dryche-Ranken|Lianes de Dryche
Duck|Ente|Canard
Earthshock|Erderschütterung|Secousse terrestre
Earthshock Fireblast|Erderschütterungsflammen|Flammes de la secousse terrestre
Elemental|Elementarwesen|Élémentaire
Elementalist|Elementarist|Élémentaliste
Elementals|Elementarwesen|Élémentaires
Embrace of Shadow|Umarmung des Schattens|Étreinte de l'ombre
Empty|Leer|Vide
Empyrean|Empyreaner|Empyréen
Empyrean Manifest|Manifestation des Empyreaners|Manifestation de l'Empyréen
Enchanter|Verzauberer|Enchanteur
Enclave|Enklave|Enclave
Envoy of Shadow|Gesandter des Schattens|Émissaire de l'ombre
Escort slot|Begleitplatz|Emplacement d'escorte
Espionage|Spionage|Espionnage
