English	cs	uk
Banish spirit from enemy units in area damaging and weakening them for period of time, cause extra damage to unholy targets.	Vyžene ducha z nepřátelských jednotek v oblasti, poškodí je a na určitou dobu oslabí. Nesvatým cílům způsobí dodatečné poškození.	Виганяє дух із ворожих загонів в області, завдаючи їм шкоди й тимчасово послаблюючи. Нечестивим цілям завдає додаткової шкоди.
Create cloud of fear causing enemy units in area to loose morale and reduce their attack rate.	Vytvoří oblak strachu, který nepřátelským jednotkám v oblasti sníží morálku a rychlost útoku.	Створює хмару страху, яка знижує бойовий дух і швидкість атаки ворожих загонів в області.
Curse friendly units with selfconsuming hunger for flesh, greatly increasing their speed and attack rate, but causing slow selfconsuming damage to them.	Prokleje spojenecké jednotky ničivým hladem po mase. Výrazně zvýší jejich rychlost pohybu a útoku, ale budou postupně zraňovat samy sebe.	Проклинає дружні загони саморуйнівним голодом до плоті. Значно збільшує швидкість їхнього руху й атаки, але вони поступово втрачають здоров'я.
Curse your units with vampyrism, healing them with each melee attack, increasing their speed and attack rate at expense of their own health and defence.	Prokleje vaše jednotky vampyrismem: každý útok zblízka je léčí a zvýší se jejich rychlost pohybu a útoku na úkor zdraví a obrany.	Проклинає ваші загони вампіризмом: кожна ближня атака лікує їх, а швидкість руху й атаки зростає ціною власного здоров'я та захисту.
Friendly companies in area are in supplied state for given time, replenishing fallen units and healing surviving ones.	Spojenecké roty v oblasti budou po určitou dobu zásobovány. Doplní padlé jednotky a vyléčí přeživší.	Дружні роти в області на певний час отримують постачання: загиблі загони поповнюються, а вцілілі лікуються.
Imbues walls and structures, making them more resistant to melee, ranged and siege damage.	Posílí hradby a budovy a zvýší jejich odolnost proti útokům zblízka, střelbě a obléhacím strojům.	Посилює стіни й споруди, підвищуючи їхню стійкість до ближніх, дальніх та облогових атак.
Reveal whole minimap to player for short duration of time.	Na krátkou dobu hráči odhalí celou minimapu.	На короткий час відкриває гравцеві всю мінімапу.
Steals gold from targeted enemy settlement or building.	Ukradne zlato z cílové nepřátelské osady nebo budovy.	Викрадає золото з вибраного ворожого поселення або будівлі.
Strenghten friendly companies with sense of righteousness increasing their melee damage, defense and speed.	Posílí spojenecké roty pocitem spravedlnosti a zvýší jejich poškození zblízka, obranu a rychlost.	Зміцнює дружні роти відчуттям праведності, збільшуючи їхню шкоду в ближньому бою, захист і швидкість.
Summons Crimson Comet out of sky to damage and engulf enemy units in fire.	Přivolá z nebe karmínovou kometu, která poškodí nepřátelské jednotky a zahalí je plameny.	Викликає з неба багряну комету, яка завдає шкоди ворожим загонам і охоплює їх полум'ям.
Summons fort cloud of dark magic to sap life essence of enemy units in area weakening their attack and reducing their health.	Přivolá oblak temné magie, který vysává životní sílu nepřátelských jednotek v oblasti, oslabuje jejich útok a snižuje zdraví.	Викликає хмару темної магії, яка висмоктує життєву силу ворожих загонів в області, послаблюючи їхню атаку та зменшуючи здоров'я.
Summons forth spirit of Lion to invigorate friendly units in area, increasing their defense, speed and replenishing portion of their morale.	Přivolá lvího ducha, který povzbudí spojenecké jednotky v oblasti, zvýší jejich obranu a rychlost a obnoví část morálky.	Викликає дух лева, який підбадьорює дружні загони в області, підвищує їхній захист і швидкість та відновлює частину бойового духу.
Summons forth swarm of spiders and scorpions to feast upon your enemies.	Přivolá roj pavouků a štírů, který se vrhne na vaše nepřátele.	Викликає рій павуків і скорпіонів, що накидаються на ваших ворогів.
Summons Glacial comet out of sky to damage and freeze enemy units.	Přivolá z nebe ledovou kometu, která poškodí a zmrazí nepřátelské jednotky.	Викликає з неба крижану комету, яка завдає шкоди ворожим загонам і заморожує їх.
Summons magical winds that heals units over time and increasing their resupply rate if they are in supply zone.	Přivolá kouzelné větry, které jednotky postupně léčí a v zásobovací zóně zrychlují jejich doplňování.	Викликає магічні вітри, які поступово лікують загони й прискорюють їхнє поповнення в зоні постачання.
Tap into energy flowing trough Khaldun to invigorate friendly unit in area with essence of Kohan greatly improving their abilities.	Využije energii proudící Khaldunem a naplní spojenecké jednotky v oblasti esencí Kohanů, čímž výrazně posílí jejich schopnosti.	Використовує енергію, що тече крізь Халдун, і наповнює дружні загони в області сутністю коханів, значно посилюючи їхні здібності.
Tears space in reality between Khaldun and realm of Shadows summoning forth The Gate thats spew out elite Shadow units and constantly summoning Shadelings if enemies are present in area. Exploding violently when Gate is consumed back to its dimension.	Roztrhne hranici mezi Khaldunem a říší Stínů a vyvolá Bránu, ze které vycházejí elitní jednotky Stínů. Pokud jsou poblíž nepřátelé, Brána nepřetržitě přivolává stínové přízraky. Při návratu do své dimenze mohutně exploduje.	Розриває межу між Халдуном і царством Тіней, викликаючи Браму, з якої виходять елітні загони Тіней. За наявності ворогів поблизу Брама постійно викликає тіньових примар. Повертаючись у свій вимір, вона потужно вибухає.
