EnglishPrefix	cs	uk
Every race has its own settler unit	Každá rasa má vlastní osadníky, kteří dokážou stavět nové vesnice. Před vámi stojí rota osadníků vedená Jonasem Teramunem. Vyberete ji kliknutím levým tlačítkem na její prapor nebo na některou z jejích jednotek.	Кожна раса має власних поселенців, здатних будувати нові села. Перед вами рота поселенців під проводом Джонаса Терамуна. Щоб вибрати її, клацніть лівою кнопкою миші на її прапорі або на будь-якій її одиниці.
Good, the settler company is now selected.	Dobře, rota osadníků je vybrána. Přesuňme ji na volné místo pro osadu. Klikněte na tlačítko Přesunout v pravé dolní části rozhraní a poté levým tlačítkem na požadovaný cíl.	Добре, роту поселенців вибрано. Перемістімо її на вільне місце для поселення. Натисніть кнопку «Перемістити» в правій нижній частині інтерфейсу, а потім клацніть лівою кнопкою в потрібному місці.
You should now see the settlers begin construction	Nyní osadníci začínají stavět centrum nové vesnice. Terén kolem místa pro osadu se změnil a ukazuje, jakou oblast bude nová osada zabírat. Až bude centrum hotové, celá rota vstoupí do osady a stane se její pracovní silou.	Тепер поселенці починають будувати центр нового села. Земля навколо місця поселення змінилася й показує територію, яку займатиме нове поселення. Коли центр буде готовий, уся рота увійде до поселення і стане його робочою силою.
The interface should have changed, updating the lower displays.	Rozhraní se změnilo a spodní panely se aktualizovaly. Ve spodním panelu vidíte nabídku oblíbených sestav. Každá ikona představuje rotu, kterou lze naverbovat. Když na ikonu najedete kurzorem, zobrazí se popis jejího složení.	Інтерфейс змінився, а нижні панелі оновилися. Унизу ви бачите меню улюблених складів рот. Кожна піктограма позначає роту, яку можна найняти. Наведіть на неї курсор, щоб побачити підказку з описом складу роти.
Good work.  The captain for the Bowmen company	Dobrá práce. Uvnitř městských hradeb se objevil kapitán roty lučištníků a postupně se k němu přidávají vojáci. Brzy bude rota připravena k boji.	Гарна робота. За міськими мурами з'явився капітан роти лучників, і до нього поступово прибувають бійці. Невдовзі рота буде готова до бою.
Okay, as you have no doubt realized,	Jak jste si jistě všimli, při náboru se jednotky automaticky sdružují do rot. Jednotlivé vojáky najímat nelze, i když některé zvláštní roty mohou obsahovat jedinou jednotku. Podívejte se na rotu lučištníků. Tvoří ji přední řada lučištníků a kapitán, který jim velí. Takto jsou uspořádány všechny roty: každá má přední řadu a velitele.	Як ви вже помітили, під час наймання бійці автоматично об'єднуються в роти. Наймати окремих бійців не можна, хоча деякі особливі роти можуть складатися лише з однієї одиниці. Погляньте на роту лучників. Вона має передній ряд лучників і капітана, який ними командує. Це основа всіх рот: кожна має передній ряд і командира.
Companies are commanded as a single entity	Rotě velíte jako celku; činnost jednotlivých vojáků přímo neovládáte. Každá rota se řídí určitými pravidly a její jednotky samostatně využívají své schopnosti. Stačí rotám dávat rozkazy a určovat jejich rozmístění. O zbytek se postarají samy.	Ротою керують як єдиним цілим; ви не контролюєте дії окремих бійців. Кожна рота дотримується певних правил, а її бійці самостійно використовують свої здібності. Вам достатньо віддавати ротам накази й визначати їхні позиції. Решту вони зроблять самі.
Another way to recruit new companies	Další možností náboru je editor vlastních rot. Umožňuje vytvářet rozmanitější sestavy, než nabízejí přednastavené varianty. Chcete-li jej otevřít, vyberte osadu a klikněte na tlačítko Nábor.	Інший спосіб наймання — редактор власних рот. Він дає змогу створювати різноманітніші склади, ніж готові шаблони. Щоб відкрити редактор, виберіть поселення й натисніть кнопку «Найняти».
The units are arranged by the position they occupy	Jednotky jsou uspořádány podle svého místa v rotě. Toto rozložení je svislou obdobou údajů, které vidíte na panelu objektu při výběru roty. Začněme přední řadou. V její části klikněte na šermíře.	Бійці розташовані відповідно до своїх місць у роті. Це вертикальне подання тих самих відомостей, які ви бачите на панелі об'єкта, коли вибрано роту. Почнімо з переднього ряду. У відповідному розділі виберіть мечника.
Now you should have a basic Swordsman company.	Nyní máte základní rotu šermířů. Můžete ji posílit přidáním jednotek na křídla a do podpory. Vyberte pikenýra na křídla a bojového mága do podpory. Všimněte si, že jednotky na křídlech se volí v párech, podobně jako se přední řada volí po čtyřech.	Тепер у вас є базова рота мечників. Її можна посилити, додавши бійців на фланги та до підтримки. Виберіть пікінерів на фланги й бойового мага до підтримки. Зверніть увагу: флангових бійців вибирають парами, так само як передній ряд — групою з чотирьох.
